scenario,purchase_cost,mid_cost,big_cost,same_filter_count,all_filters_same,base_plan_total_annual_cost,reoptimized_total_annual_cost,annual_cost_penalty,annual_cost_penalty_pct,purchase_factor,mid_factor,big_factor
purchase_1.0_mid_0.8_big_1.3,300.0,2.4000000000000004,15.600000000000001,9,False,1399.3521075475721,1398.202920600066,1.149186947506223,0.08219028372598644,1.0,0.8,1.3
purchase_1.0_mid_0.9_big_0.7,300.0,2.7,8.399999999999999,5,False,1333.9264769163592,1323.2720567399517,10.654420176407484,0.8051571951618172,1.0,0.9,0.7
purchase_1.0_mid_0.9_big_0.8,300.0,2.7,9.600000000000001,8,False,1349.0628715058301,1345.6735098424767,3.389361663353384,0.2518710250713146,1.0,0.9,0.8
purchase_1.0_mid_0.9_big_0.9,300.0,2.7,10.8,10,True,1364.199266095301,1364.1992660953008,2.2737367544323206e-13,1.6667189397780257e-14,1.0,0.9,0.9
purchase_1.0_mid_0.9_big_1.0,300.0,2.7,12.0,10,True,1379.335660684772,1379.335660684772,0.0,0.0,1.0,0.9,1.0
purchase_1.0_mid_0.9_big_1.1,300.0,2.7,13.200000000000001,9,False,1394.4720552742426,1394.2577695599568,0.21428571428577925,0.015369160492712202,1.0,0.9,1.1
purchase_1.0_mid_0.9_big_1.2,300.0,2.7,14.399999999999999,9,False,1409.6084498637135,1408.9272864892725,0.6811633744409846,0.048346240503176666,1.0,0.9,1.2
purchase_1.0_mid_0.9_big_1.3,300.0,2.7,15.600000000000001,9,False,1424.7448444531842,1423.5968034185885,1.1480410345957353,0.08064369292196072,1.0,0.9,1.3
purchase_1.0_mid_1.0_big_0.7,300.0,3.0,8.399999999999999,5,False,1359.3192138219715,1351.4044827051644,7.914731116807161,0.5856670758531083,1.0,1.0,0.7
purchase_1.0_mid_1.0_big_0.8,300.0,3.0,9.600000000000001,9,False,1374.4556084114422,1373.7079483176494,0.7476600937927742,0.054426422640155604,1.0,1.0,0.8
purchase_1.0_mid_1.0_big_0.9,300.0,3.0,10.8,10,True,1389.592003000913,1389.5920030009129,2.2737367544323206e-13,1.6362621183210904e-14,1.0,1.0,0.9
purchase_1.0_mid_1.0_big_1.0,300.0,3.0,12.0,10,True,1404.7283975903838,1404.728397590384,-2.2737367544323206e-13,-1.61863087436162e-14,1.0,1.0,1.0
purchase_1.0_mid_1.0_big_1.1,300.0,3.0,13.200000000000001,9,False,1419.8647921798547,1419.6516523784796,0.21313980137506405,0.015013528214331336,1.0,1.0,1.1
purchase_1.0_mid_1.0_big_1.2,300.0,3.0,14.399999999999999,9,False,1435.0011867693256,1434.3211693077953,0.6800174615302694,0.047410404035132976,1.0,1.0,1.2
purchase_1.0_mid_1.0_big_1.3,300.0,3.0,15.600000000000001,9,False,1450.1375813587963,1448.9906862371113,1.14689512168502,0.0791513108109339,1.0,1.0,1.3
purchase_1.0_mid_1.1_big_0.7,300.0,3.3000000000000003,8.399999999999999,5,False,1384.7119507275834,1379.536908670377,5.175042057206383,0.37512893092466687,1.0,1.1,0.7
purchase_1.0_mid_1.1_big_0.8,300.0,3.3000000000000003,9.600000000000001,9,False,1399.8483453170543,1399.0858140691325,0.7625312479217428,0.05450210703687859,1.0,1.1,0.8
purchase_1.0_mid_1.1_big_0.9,300.0,3.3000000000000003,10.8,10,True,1414.9847399065252,1414.9847399065252,0.0,0.0,1.0,1.1,0.9
purchase_1.0_mid_1.1_big_1.0,300.0,3.3000000000000003,12.0,10,True,1430.121134495996,1430.121134495996,0.0,0.0,1.0,1.1,1.0
purchase_1.0_mid_1.1_big_1.1,300.0,3.3000000000000003,13.200000000000001,9,False,1445.2575290854668,1445.0455351970024,0.21199388846434886,0.01467039503606008,1.0,1.1,1.1
purchase_1.0_mid_1.1_big_1.2,300.0,3.3000000000000003,14.399999999999999,9,False,1460.3939236749375,1459.7150521263184,0.6788715486190995,0.04650712806106986,1.0,1.1,1.2
purchase_1.0_mid_1.1_big_1.3,300.0,3.3000000000000003,15.600000000000001,9,False,1475.5303182644086,1474.384569055634,1.1457492087745322,0.07771033642249811,1.0,1.1,1.3
purchase_1.0_mid_1.2_big_0.7,300.0,3.5999999999999996,8.399999999999999,6,False,1410.1046876331955,1405.873828131845,4.230859501350551,0.3009416219784536,1.0,1.2,0.7
purchase_1.0_mid_1.2_big_0.8,300.0,3.5999999999999996,9.600000000000001,9,False,1425.2410822226666,1424.4636798206157,0.7774024020509387,0.054575094687485316,1.0,1.2,0.8
purchase_1.0_mid_1.2_big_0.9,300.0,3.5999999999999996,10.8,10,True,1440.3774768121373,1440.3774768121373,0.0,0.0,1.0,1.2,0.9
purchase_1.0_mid_1.2_big_1.0,300.0,3.5999999999999996,12.0,10,True,1455.513871401608,1455.513871401608,0.0,0.0,1.0,1.2,1.0
purchase_1.0_mid_1.2_big_1.1,300.0,3.5999999999999996,13.200000000000001,9,False,1470.6502659910789,1470.439418015525,0.21084797555386103,0.014339113394988903,1.0,1.2,1.1
purchase_1.0_mid_1.2_big_1.2,300.0,3.5999999999999996,14.399999999999999,9,False,1485.7866605805498,1485.108934944841,0.677725635708839,0.045634742325081405,1.0,1.2,1.2
purchase_1.0_mid_1.2_big_1.3,300.0,3.5999999999999996,15.600000000000001,9,False,1500.9230551700205,1499.7784518741566,1.144603295863817,0.07631815848757496,1.0,1.2,1.3
purchase_1.0_mid_1.3_big_0.7,300.0,3.9000000000000004,8.399999999999999,6,False,1435.4974245388078,1431.2417783382873,4.255646200520459,0.29733943383495876,1.0,1.3,0.7
purchase_1.0_mid_1.3_big_0.8,300.0,3.9000000000000004,9.600000000000001,9,False,1450.6338191282787,1449.8415455720988,0.7922735561799072,0.05464552720257998,1.0,1.3,0.8
purchase_1.0_mid_1.3_big_0.9,300.0,3.9000000000000004,10.8,10,True,1465.7702137177496,1465.7702137177496,0.0,0.0,1.0,1.3,0.9
purchase_1.0_mid_1.3_big_1.0,300.0,3.9000000000000004,12.0,10,True,1480.9066083072205,1480.9066083072205,0.0,0.0,1.0,1.3,1.0
purchase_1.0_mid_1.3_big_1.1,300.0,3.9000000000000004,13.200000000000001,9,False,1496.0430028966912,1495.8333008340478,0.2097020626433732,0.01401907970135759,1.0,1.3,1.1
purchase_1.0_mid_1.3_big_1.2,300.0,3.9000000000000004,14.399999999999999,9,False,1511.1793974861619,1510.5028177633637,0.6765797227981238,0.04479168888939585,1.0,1.3,1.2
purchase_1.0_mid_1.3_big_1.3,300.0,3.9000000000000004,15.600000000000001,9,False,1526.3157920756328,1525.1723346926797,1.1434573829531018,0.07497233964603135,1.0,1.3,1.3
purchase_1.1_mid_0.7_big_0.7,330.0,2.0999999999999996,8.399999999999999,4,False,1383.0847113690902,1355.1419449065488,27.942766462541385,2.061980781243424,1.1,0.7,0.7
purchase_1.1_mid_0.7_big_0.8,330.0,2.0999999999999996,9.600000000000001,6,False,1398.2211059585613,1381.3824004715823,16.838705486979052,1.2189749544536388,1.1,0.7,0.8
purchase_1.1_mid_0.7_big_0.9,330.0,2.0999999999999996,10.8,8,False,1413.357500548032,1402.7932440745255,10.564256473506475,0.7530872078355428,1.1,0.7,0.9
purchase_1.1_mid_0.7_big_1.0,330.0,2.0999999999999996,12.0,9,False,1428.493895137503,1422.1643030996627,6.329592037840257,0.44506756526265384,1.1,0.7,1.0
purchase_1.1_mid_0.7_big_1.1,330.0,2.0999999999999996,13.200000000000001,9,False,1443.6302897269736,1439.5246667310962,4.105622995877411,0.2852068527037156,1.1,0.7,1.1
purchase_1.1_mid_0.7_big_1.2,330.0,2.0999999999999996,14.399999999999999,8,False,1458.7666843164443,1456.0939063396393,2.672777976805037,0.18355807720697936,1.1,0.7,1.2
purchase_1.1_mid_0.7_big_1.3,330.0,2.0999999999999996,15.600000000000001,8,False,1473.9030789059152,1472.3886179551669,1.5144609507483437,0.10285742040383376,1.1,0.7,1.3
purchase_1.1_mid_0.8_big_0.7,330.0,2.4000000000000004,8.399999999999999,4,False,1408.4774482747025,1383.264368171584,25.2130801031185,1.8227231672601718,1.1,0.8,0.7
purchase_1.1_mid_0.8_big_0.8,330.0,2.4000000000000004,9.600000000000001,6,False,1423.6138428641734,1409.515633765422,14.09820909875134,1.0002165822800393,1.1,0.8,0.8
purchase_1.1_mid_0.8_big_0.9,330.0,2.4000000000000004,10.8,8,False,1438.7502374536443,1430.9355855847791,7.814651868865212,0.5461218483620005,1.1,0.8,0.9
purchase_1.1_mid_0.8_big_1.0,330.0,2.4000000000000004,12.0,9,False,1453.886632043115,1450.3215157640452,3.565116279069798,0.24581558229118983,1.1,0.8,1.0
purchase_1.1_mid_0.8_big_1.1,330.0,2.4000000000000004,13.200000000000001,9,False,1469.023026632586,1467.6887618593382,1.3342647732476962,0.09090924506074338,1.1,0.8,1.1
purchase_1.1_mid_0.8_big_1.2,330.0,2.4000000000000004,14.399999999999999,9,False,1484.1594212220566,1483.9682174678276,0.19120375422903635,0.012884625962899483,1.1,0.8,1.2
purchase_1.1_mid_0.8_big_1.3,330.0,2.4000000000000004,15.600000000000001,9,False,1499.2958158115275,1498.6377343971437,0.658081414383787,0.04391197414020227,1.1,0.8,1.3
purchase_1.1_mid_0.9_big_0.7,330.0,2.7,8.399999999999999,4,False,1433.8701851803146,1411.3867914366192,22.483393743695387,1.5930001527653552,1.1,0.9,0.7
purchase_1.1_mid_0.9_big_0.8,330.0,2.7,9.600000000000001,6,False,1449.0065797697857,1437.6488670592616,11.357712710524083,0.790019939552869,1.1,0.9,0.8
purchase_1.1_mid_0.9_big_0.9,330.0,2.7,10.8,8,False,1464.1429743592564,1459.0779270950327,5.065047264223722,0.34714028429640037,1.1,0.9,0.9
purchase_1.1_mid_0.9_big_1.0,330.0,2.7,12.0,9,False,1479.279368948727,1478.4787284284278,0.8006405202993392,0.05415299556933041,1.1,0.9,1.0
purchase_1.1_mid_0.9_big_1.1,330.0,2.7,13.200000000000001,10,True,1494.415763538198,1494.415763538198,0.0,0.0,1.1,0.9,1.1
purchase_1.1_mid_0.9_big_1.2,330.0,2.7,14.399999999999999,9,False,1509.552158127669,1509.3621002863504,0.19005784131854853,0.012591931471082483,1.1,0.9,1.2
purchase_1.1_mid_0.9_big_1.3,330.0,2.7,15.600000000000001,9,False,1524.6885527171396,1524.0316172156663,0.6569355014732992,0.04310510976625861,1.1,0.9,1.3
purchase_1.1_mid_1.0_big_0.7,330.0,3.0,8.399999999999999,4,False,1459.2629220859267,1439.5092147016544,19.753707384272275,1.3722529305494118,1.1,1.0,0.7
purchase_1.1_mid_1.0_big_0.8,330.0,3.0,9.600000000000001,6,False,1474.3993166753978,1465.7821003531012,8.6172163222966,0.5878920420859789,1.1,1.0,0.8
purchase_1.1_mid_1.0_big_0.9,330.0,3.0,10.8,8,False,1489.5357112648685,1487.220268605286,2.315442659582459,0.15568928883371655,1.1,1.0,0.9
purchase_1.1_mid_1.0_big_1.0,330.0,3.0,12.0,10,True,1504.6721058543394,1504.6721058543394,0.0,0.0,1.1,1.0,1.0
purchase_1.1_mid_1.0_big_1.1,330.0,3.0,13.200000000000001,10,True,1519.8085004438103,1519.8085004438103,0.0,0.0,1.1,1.0,1.1
purchase_1.1_mid_1.0_big_1.2,330.0,3.0,14.399999999999999,9,False,1534.944895033281,1534.7559831048732,0.18891192840783333,0.012308922753026632,1.1,1.0,1.2
purchase_1.1_mid_1.0_big_1.3,330.0,3.0,15.600000000000001,9,False,1550.0812896227517,1549.425500034189,0.655789588562584,0.042324693155502705,1.1,1.0,1.3
purchase_1.1_mid_1.1_big_0.7,330.0,3.3000000000000003,8.399999999999999,4,False,1484.655658991539,1467.6316379666898,17.024021024849162,1.1599655243487976,1.1,1.1,0.7
purchase_1.1_mid_1.1_big_0.8,330.0,3.3000000000000003,9.600000000000001,6,False,1499.7920535810097,1493.9153336469408,5.876719934068888,0.39337704096808884,1.1,1.1,0.8
purchase_1.1_mid_1.1_big_0.9,330.0,3.3000000000000003,10.8,9,False,1514.9284481704804,1514.475647167175,0.45280100330523965,0.029898202995353763,1.1,1.1,0.9
purchase_1.1_mid_1.1_big_1.0,330.0,3.3000000000000003,12.0,10,True,1530.0648427599513,1530.0648427599513,0.0,0.0,1.1,1.1,1.0
purchase_1.1_mid_1.1_big_1.1,330.0,3.3000000000000003,13.200000000000001,10,True,1545.2012373494222,1545.2012373494222,0.0,0.0,1.1,1.1,1.1
purchase_1.1_mid_1.1_big_1.2,330.0,3.3000000000000003,14.399999999999999,9,False,1560.337631938893,1560.1498659233962,0.18776601549689076,0.012035126855313919,1.1,1.1,1.2
purchase_1.1_mid_1.1_big_1.3,330.0,3.3000000000000003,15.600000000000001,9,False,1575.474026528364,1574.819382852712,0.6546436756520961,0.04156944490143623,1.1,1.1,1.3
purchase_1.1_mid_1.2_big_0.7,330.0,3.5999999999999996,8.399999999999999,4,False,1510.048395897151,1495.7540612317252,14.294334665425822,0.9556607624153604,1.1,1.2,0.7
purchase_1.1_mid_1.2_big_0.8,330.0,3.5999999999999996,9.600000000000001,6,False,1525.184790486622,1522.0485669407803,3.1362235458416308,0.20605279055879527,1.1,1.2,0.8
purchase_1.1_mid_1.2_big_0.9,330.0,3.5999999999999996,10.8,9,False,1540.3211850760927,1539.8535129186585,0.4676721574342082,0.030371210865881407,1.1,1.2,0.9
purchase_1.1_mid_1.2_big_1.0,330.0,3.5999999999999996,12.0,10,True,1555.4575796655636,1555.4575796655633,2.2737367544323206e-13,1.4617799830460138e-14,1.1,1.2,1.0
purchase_1.1_mid_1.2_big_1.1,330.0,3.5999999999999996,13.200000000000001,10,True,1570.5939742550343,1570.5939742550343,0.0,0.0,1.1,1.2,1.1
purchase_1.1_mid_1.2_big_1.2,330.0,3.5999999999999996,14.399999999999999,9,False,1585.730368844505,1585.5437487419185,0.18662010258640294,0.01177010112363537,1.1,1.2,1.2
purchase_1.1_mid_1.2_big_1.3,330.0,3.5999999999999996,15.600000000000001,9,False,1600.8667634339758,1600.2132656712345,0.6534977627413809,0.04083816680942594,1.1,1.2,1.3
purchase_1.1_mid_1.3_big_0.7,330.0,3.9000000000000004,8.399999999999999,4,False,1535.4411328027631,1523.8764844967604,11.56464830600271,0.7588966969210618,1.1,1.3,0.7
purchase_1.1_mid_1.3_big_0.8,330.0,3.9000000000000004,9.600000000000001,7,False,1550.5775273922343,1547.607233817592,2.9702935746422554,0.19192812683585242,1.1,1.3,0.8
purchase_1.1_mid_1.3_big_0.9,330.0,3.9000000000000004,10.8,9,False,1565.713921981705,1565.2313786701418,0.48254331156317676,0.03082888051817343,1.1,1.3,0.9
purchase_1.1_mid_1.3_big_1.0,330.0,3.9000000000000004,12.0,10,True,1580.8503165711759,1580.8503165711757,2.2737367544323206e-13,1.4382998381301514e-14,1.1,1.3,1.0
purchase_1.1_mid_1.3_big_1.1,330.0,3.9000000000000004,13.200000000000001,10,True,1595.9867111606468,1595.9867111606466,2.2737367544323206e-13,1.4246589514387593e-14,1.1,1.3,1.1
purchase_1.1_mid_1.3_big_1.2,330.0,3.9000000000000004,14.399999999999999,9,False,1611.1231057501175,1610.9376315604416,0.1854741896759151,0.011513430814590553,1.1,1.3,1.2
