filter_no,mid_interval_days,big_interval_days,failure_date,life_days,life_years,future_mid_count,future_big_count,purchase_cost,maintenance_cost,total_cycle_cost,annual_cost,status
A9,105,150,2027-11-15,584,1.6,6,3,300.0,54.0,354.0,221.25,failed_within_horizon
A9,105,180,2027-11-15,584,1.6,6,3,300.0,54.0,354.0,221.25,failed_within_horizon
A9,105,240,2027-11-15,584,1.6,6,2,300.0,42.0,342.0,213.75,failed_within_horizon
A9,105,300,2027-11-15,584,1.6,6,1,300.0,30.0,330.0,206.25,failed_within_horizon
A9,105,365,2027-11-15,584,1.6,6,1,300.0,30.0,330.0,206.25,failed_within_horizon
A9,120,90,2028-02-13,674,1.8465753424657534,6,7,300.0,102.0,402.0,217.70029673590506,failed_within_horizon
A9,120,120,2027-11-22,591,1.6191780821917807,5,5,300.0,75.0,375.0,231.5989847715736,failed_within_horizon
A9,120,150,2027-10-16,554,1.5178082191780822,5,3,300.0,51.0,351.0,231.25451263537906,failed_within_horizon
A9,120,180,2027-10-16,554,1.5178082191780822,5,3,300.0,51.0,351.0,231.25451263537906,failed_within_horizon
A9,120,240,2027-10-16,554,1.5178082191780822,5,2,300.0,39.0,339.0,223.34837545126354,failed_within_horizon
A9,120,300,2027-10-16,554,1.5178082191780822,5,1,300.0,27.0,327.0,215.442238267148,failed_within_horizon
A9,120,365,2027-10-16,554,1.5178082191780822,5,1,300.0,27.0,327.0,215.442238267148,failed_within_horizon
A9,150,90,2028-08-11,854,2.33972602739726,6,9,300.0,126.0,426.0,182.07259953161594,failed_within_horizon
A9,150,120,2027-10-16,554,1.5178082191780822,4,4,300.0,60.0,360.0,237.18411552346572,failed_within_horizon
A9,150,150,2027-10-16,554,1.5178082191780822,4,3,300.0,48.0,348.0,229.27797833935017,failed_within_horizon
A9,150,180,2027-10-16,554,1.5178082191780822,4,3,300.0,48.0,348.0,229.27797833935017,failed_within_horizon
A9,150,240,2027-10-16,554,1.5178082191780822,4,2,300.0,36.0,336.0,221.37184115523465,failed_within_horizon
A9,150,300,2027-10-16,554,1.5178082191780822,4,1,300.0,24.0,324.0,213.46570397111913,failed_within_horizon
A9,150,365,2027-10-16,554,1.5178082191780822,4,1,300.0,24.0,324.0,213.46570397111913,failed_within_horizon
A10,30,90,2027-11-16,584,1.6,20,6,300.0,132.0,432.0,270.0,failed_within_horizon
A10,30,120,2027-08-18,494,1.3534246575342466,17,4,300.0,99.0,399.0,294.8076923076923,failed_within_horizon
A10,30,150,2027-07-19,464,1.2712328767123289,16,3,300.0,84.0,384.0,302.06896551724134,failed_within_horizon
A10,30,180,2027-07-19,464,1.2712328767123289,16,3,300.0,84.0,384.0,302.06896551724134,failed_within_horizon
A10,30,240,2027-05-20,404,1.106849315068493,14,2,300.0,66.0,366.0,330.6683168316832,failed_within_horizon
A10,30,300,2027-04-20,374,1.0246575342465754,13,1,300.0,51.0,351.0,342.5534759358289,failed_within_horizon
A10,30,365,2027-03-21,344,0.9424657534246575,12,1,300.0,48.0,348.0,369.24418604651163,failed_within_horizon
A10,45,90,2027-05-05,389,1.0657534246575342,9,4,300.0,75.0,375.0,351.8637532133676,failed_within_horizon
A10,45,120,2027-02-04,299,0.8191780821917808,7,3,300.0,57.0,357.0,435.8026755852843,failed_within_horizon
A10,45,150,2027-02-04,299,0.8191780821917808,7,2,300.0,45.0,345.0,421.1538461538462,failed_within_horizon
A10,45,180,2026-12-21,254,0.6958904109589041,6,1,300.0,30.0,330.0,474.21259842519686,failed_within_horizon
A10,45,240,2026-12-21,254,0.6958904109589041,6,1,300.0,30.0,330.0,474.21259842519686,failed_within_horizon
A10,45,300,2026-12-21,254,0.6958904109589041,6,1,300.0,30.0,330.0,474.21259842519686,failed_within_horizon
A10,45,365,2026-12-21,254,0.6958904109589041,6,0,300.0,18.0,318.0,456.9685039370079,failed_within_horizon
