mid_half_life_days,big_half_life_days,lambda_mid,lambda_big,rss,r2
21,14,0.033007008598092635,0.049510512897138946,764643.9147534138,0.7755994862833846
21,21,0.033007008598092635,0.033007008598092635,765096.5894442236,0.7754666395671493
21,7,0.033007008598092635,0.09902102579427789,767083.4499873137,0.774883554397765
14,180,0.049510512897138946,0.003850817669777474,767655.7077154977,0.774715613574978
14,120,0.049510512897138946,0.0057762265046662105,787453.5821034922,0.7689055193632223
14,90,0.049510512897138946,0.007701635339554948,798893.5581553766,0.7655482226484809
14,60,0.049510512897138946,0.011552453009332421,809696.8293342241,0.7623777800992388
14,7,0.049510512897138946,0.09902102579427789,810458.931814291,0.762154125421902
14,14,0.049510512897138946,0.049510512897138946,811881.4541327921,0.7617366569337785
14,45,0.049510512897138946,0.015403270679109895,813760.2427909139,0.7611852876860634
14,21,0.049510512897138946,0.033007008598092635,814474.7947811371,0.7609755876798389
14,30,0.049510512897138946,0.023104906018664842,815565.9161748877,0.7606553756222254
7,180,0.09902102579427789,0.003850817669777474,858510.1829701071,0.748052495583432
7,120,0.09902102579427789,0.0057762265046662105,876054.1028547577,0.7429038707676727
7,90,0.09902102579427789,0.007701635339554948,885279.6825438126,0.7401964342974235
7,7,0.09902102579427789,0.09902102579427789,888649.6753617006,0.7392074404599467
7,14,0.09902102579427789,0.049510512897138946,892701.6918355954,0.7380182927262288
7,60,0.09902102579427789,0.011552453009332421,892912.649767329,0.7379563827739748
7,21,0.09902102579427789,0.033007008598092635,895225.7235016546,0.7372775636213835
7,45,0.09902102579427789,0.015403270679109895,895301.1895701911,0.7372554165484506
7,30,0.09902102579427789,0.023104906018664842,896131.9564844534,0.7370116108779388
